seed,profiles,p95_response_round_robin,p95_response_adaptive,p95_response_difference,weighted_score_round_robin,weighted_score_adaptive,weighted_score_difference,transition_p99_ms,accepted_switches,held_decisions,dwell_blocked_decisions,low_confidence_decisions,mean_confidence,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr
2026000248,cpu_intensive/batch/interactive,52.099999999999994,52.099999999999994,0.0,0.22911036644687063,0.22911036644687063,0.0,0.13067022,1,91,0,91,0.4816709854739093,0.44401441931416663,0.14594519533419736,0.22911036644687063,0.39774956507175646,0.7696259951860767
2026000249,io_intensive/batch/interactive,53.349999999999994,53.349999999999994,0.0,0.20109780439121755,0.20109780439121755,0.0,0.13453344,1,84,0,84,0.5191725647786853,0.3505686881638128,0.12034794098216252,0.20109780439121755,0.37633005866340086,0.7802796740805991
2026000250,io_intensive/batch/cpu_intensive,45.099999999999994,45.099999999999994,0.0,0.2048147095062079,0.2048147095062079,0.0,0.1344705,0,110,0,110,0.4512944155041068,0.30757087087602286,0.19097438658034196,0.2048147095062079,0.39983076310318205,0.7730390432641576
2026000251,batch/io_intensive/mixed,54.05,54.05,0.0,0.21274484424885665,0.21274484424885665,0.0,0.13801396,1,113,0,113,0.4659687375963722,0.3783186231769918,0.18046660567246112,0.21274484424885665,0.34478160262774654,0.7794144556267155
2026000252,cpu_intensive/mixed/interactive,50.9,50.9,0.0,0.21739912249154858,0.21739912249154858,0.0,0.13614266000000003,0,139,0,139,0.47273536299846625,0.5037152833156839,0.15439704778583938,0.21739912249154858,0.3910716546520367,0.7681386039529647
2026000253,io_intensive/mixed/interactive,52.0,52.0,0.0,0.19357338195077484,0.19339106654512303,-0.00018231540565180615,0.137167,1,100,1,99,0.4956850009658752,0.43129676808766126,0.1102598900034988,0.19357338195077484,0.39632546809006736,0.7794235709698137
2026000254,batch/mixed/io_intensive,55.39999999999999,55.39999999999999,0.0,0.21256797120318602,0.21256797120318602,0.0,0.13620528,1,116,0,116,0.48145748852932707,0.38364424450555756,0.14088450898328467,0.21256797120318602,0.36480349514314575,0.7733787427274017
2026000255,batch/cpu_intensive/interactive,51.099999999999994,51.099999999999994,0.0,0.23168044077134986,0.23168044077134986,0.0,0.13667731,1,109,0,109,0.5046405399912075,0.4466530936438037,0.1318675234967036,0.23168044077134986,0.4051271618573672,0.7693679495686795
2026000256,cpu_intensive/io_intensive/interactive,47.9,47.9,0.0,0.21181980374665477,0.21181980374665477,0.0,0.13506643000000002,1,107,0,107,0.5049862376933121,0.4096902386039991,0.10914502125420442,0.21181980374665477,0.4519581900917564,0.7683056478405316
2026000257,mixed/batch/io_intensive,58.39999999999999,58.39999999999999,0.0,0.21879281748034898,0.21879281748034898,0.0,0.135002,0,123,0,123,0.4468592040305687,0.384959773826303,0.16232180570221755,0.21879281748034898,0.3715964675151796,0.7705583421330517
2026000258,io_intensive/batch/mixed,54.699999999999996,54.699999999999996,0.0,0.1898711995093314,0.1897835801279243,-8.761938140711134e-05,0.13320758,1,101,0,101,0.4424590477614722,0.3035016368893526,0.12341818181818183,0.1898711995093314,0.39176453428280344,0.7702545454545455
2026000259,batch/mixed/interactive,56.349999999999994,56.349999999999994,0.0,0.2088887002292215,0.2088887002292215,0.0,0.13938270000000003,1,105,0,105,0.4620704467229114,0.33178651764299594,0.13628522139160437,0.2088887002292215,0.3573182238010246,0.7724626221966647
2026000260,cpu_intensive/io_intensive/batch,49.099999999999994,49.099999999999994,0.0,0.21673136259579975,0.21673136259579975,0.0,0.13527373,1,97,0,97,0.4693570615524244,0.33178877681288144,0.17416781563915695,0.21673136259579975,0.3798614638688205,0.7752609808942288
2026000261,batch/interactive/io_intensive,50.699999999999996,50.699999999999996,0.0,0.19652941780470276,0.19652941780470276,0.0,0.13826056,1,84,0,84,0.46061072136778103,0.3444938326970819,0.12291835905767666,0.19652941780470276,0.3434926134410211,0.784727863525589
2026000262,batch/io_intensive/cpu_intensive,51.55,51.55,0.0,0.21847855901984095,0.21847855901984095,0.0,0.13907946000000002,0,107,0,107,0.4721012040041378,0.3150352189627698,0.15365228887787144,0.21847855901984095,0.36931947061514686,0.7707403734919849
2026000263,interactive/io_intensive/cpu_intensive,46.45,46.45,0.0,0.16586330490668644,0.16586330490668644,0.0,0.16492575,0,100,0,100,0.4854779249097004,0.37579830487715316,0.09192966636609558,0.16586330490668644,0.48161537510814484,0.7765103697024347
2026000264,cpu_intensive/interactive/batch,46.099999999999994,46.099999999999994,0.0,0.21337910944652516,0.21337910944652516,0.0,0.1338,0,116,0,116,0.48632430350520045,0.48659034269231705,0.13011555127587868,0.21337910944652516,0.43070258608075596,0.7698202535708554
