profile,seed,oracle,selected,correct,regret,inference_ms,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr,max_wait_fcfs,max_wait_sjf,max_wait_srtf,max_wait_round_robin,max_wait_priority,max_wait_priority_rr,switch_time_fcfs,switch_time_sjf,switch_time_srtf,switch_time_round_robin,switch_time_priority,switch_time_priority_rr
batch,20261000108,Round Robin,Round Robin,1,0.0,0.09620800119591877,0.23631153626693321,0.19433198380566802,0.24404439673535858,0.1394869445716903,0.29924415941365096,0.7540485829959513,166,166,170,169,202,368,0,0,0,0,0,202
batch,20261000109,Round Robin,Round Robin,1,0.0,0.06587499956367537,0.26153747786740117,0.20807692307692308,0.181248971904254,0.14040920716112532,0.2814578005115089,0.7557692307692307,161,149,151,149,161,334,0,0,0,0,0,178
batch,20261000110,Round Robin,Round Robin,1,0.0,0.06266700074775144,0.24601077181256187,0.1991912636768277,0.17241175289375923,0.13583815028901736,0.28334815473543795,0.7586848635235732,195,190,185,188,200,401,0,0,0,0,0,212
batch,20261000111,Round Robin,Round Robin,1,0.0,0.061166996601969004,0.1942391496899912,0.1659039014102296,0.15346393039807082,0.12672727272727277,0.2994545454545455,0.7579716563330381,221,209,209,204,227,453,0,0,0,0,0,238
batch,20261000112,Round Robin,Round Robin,1,0.0,0.11904199345735833,0.1994950934707527,0.174498576497662,0.19707920986937044,0.13831478537360892,0.31809750927397984,0.7520689655172415,147,150,149,147,175,321,0,0,0,0,0,173
batch,20261000113,Round Robin,Round Robin,1,0.0,0.061166996601969004,0.23318896618099838,0.19437726723095528,0.2400628809369459,0.1493451626531474,0.30640050697084914,0.7560459492140266,181,178,193,181,180,379,0,0,0,0,0,201
batch,20261000114,Round Robin,Round Robin,1,0.0,0.060000005760230124,0.19814861696624142,0.20721310301010337,0.19617717605277762,0.13398861872736678,0.29353784333439426,0.7629179331306991,161,161,161,157,163,344,0,0,0,0,0,183
batch,20261000115,Round Robin,Round Robin,1,0.0,0.06016699626343325,0.24886257376180465,0.23649894180067407,0.20027284258260372,0.13062812673707613,0.26473040578098944,0.7594254937163375,148,152,162,150,154,332,0,0,0,0,0,178
batch,20261000116,Round Robin,Round Robin,1,0.0,0.06499999290099367,0.2434402127270425,0.19451081407438142,0.21692891160290953,0.13799778761061943,0.2945243362831858,0.7539745627980923,134,132,142,129,141,284,0,0,0,0,0,155
batch,20261000117,Round Robin,Round Robin,1,0.0,0.11466699652373791,0.2772974648968684,0.21222076215505914,0.20221817243996743,0.1453932584269663,0.2880431514002355,0.7559132720105125,168,168,171,168,171,352,0,0,0,0,0,185
batch,20261000118,Round Robin,Round Robin,1,0.0,0.0729589955881238,0.2524284784535283,0.19444444444444442,0.24319229810568294,0.1393008474576271,0.2981991525423729,0.7508169934640523,148,149,164,149,172,322,0,0,0,0,0,173
batch,20261000119,Round Robin,Round Robin,1,0.0,0.06641600339207798,0.18259081769158544,0.18826976758067243,0.2206568703209778,0.1435700575815739,0.3140259759999784,0.7627164502164503,185,187,199,185,201,399,0,0,0,0,0,214
batch,20261000120,Round Robin,Round Robin,1,0.0,0.0641250007902272,0.2604053265517632,0.20021489971346706,0.17941985060804788,0.1474164133738602,0.2958459979736575,0.7650429799426934,148,140,140,140,162,298,0,0,0,0,0,158
batch,20261000121,Round Robin,Round Robin,1,0.0,0.12575000437209383,0.24193496304355755,0.17151162790697677,0.21461861316086994,0.14375326711970726,0.3185714591060585,0.7688953488372092,137,132,147,132,142,293,0,0,0,0,0,152
batch,20261000122,Round Robin,Round Robin,1,0.0,0.06600000051548705,0.23219129863425167,0.18768709191361127,0.18164682345723543,0.1406814661848219,0.33243295008228824,0.7524475524475525,158,156,156,152,164,341,0,0,0,0,0,181
batch,20261000123,Round Robin,Round Robin,1,0.0,0.05962500290479511,0.27645933790001587,0.209095903969173,0.2585780509509323,0.14363320295523688,0.28737505432420685,0.7615740740740741,177,175,189,172,181,369,0,0,0,0,0,191
batch,20261000124,Round Robin,Round Robin,1,0.0,0.059541998780332506,0.24309465260251512,0.2233455882352941,0.22575815469247457,0.1444811147781445,0.2725522552255225,0.7604166666666667,205,207,209,206,218,452,0,0,0,0,0,242
