process_count,arrival_rate,burst_mean,burst_variance,short_job_ratio,priority_mean,priority_variance,io_frequency,io_cpu_ratio,profile,seed,label,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr
12.0,0.9230769230769231,9.666666666666666,5.388888888888889,1.0,3.5833333333333335,2.076388888888889,2.9166666666666665,1.5344827586206897,interactive,420000052,SRTF,0.15817130161648663,0.2541781723606473,0.1212541178273194,0.14821994009413778,0.2920095693779904,0.7958515283842795
12.0,0.9230769230769231,7.583333333333333,11.57638888888889,1.0,2.8333333333333335,1.6388888888888888,2.25,1.5274725274725274,interactive,420000053,SRTF,0.13410807794741889,0.0907810050108001,0.04886974244950898,0.1379906201641791,0.37223848309071705,0.8012820512820513
12.0,0.7058823529411765,6.75,8.020833333333334,1.0,3.8333333333333335,1.3055555555555556,2,1.4444444444444444,interactive,420000054,SRTF,0.1610881441775745,0.3141051136363637,0.08705257119984887,0.10230663772974335,0.33382180539273154,0.87890625
12.0,0.75,8.666666666666666,10.722222222222221,1.0,2.4166666666666665,2.2430555555555554,2.5833333333333335,1.5096153846153846,interactive,420000055,Round Robin,0.14248761742100768,0.16260459973463065,0.14473013346648375,0.12119695308437732,0.29946339202545336,0.788
12.0,1.2,7.083333333333333,20.90972222222222,1.0,2.5833333333333335,1.2430555555555556,1.8333333333333333,1.3411764705882352,interactive,420000056,SRTF,0.19988036854419752,0.33382936507936506,0.1266256692320601,0.13048909057572428,0.262823952900408,0.8621495327102804
12.0,0.8571428571428571,6.916666666666667,14.07638888888889,1.0,2.5,2.25,2.25,1.6867469879518073,interactive,420000057,Round Robin,0.19066751190761744,0.22991071428571425,0.17766103721291396,0.14150754524834508,0.36416823777266294,0.814935064935065
12.0,1.0,9.333333333333334,12.38888888888889,1.0,2.4166666666666665,2.2430555555555554,2.75,1.2410714285714286,interactive,420000058,Round Robin,0.1413324979114453,0.23863474802068577,0.13322654119575672,0.09841269841269842,0.2959039460503351,0.774561403508772
12.0,0.9230769230769231,7.833333333333333,8.13888888888889,1.0,3.4166666666666665,1.7430555555555556,2.4166666666666665,1.6702127659574468,interactive,420000059,SRTF,0.1120077599214428,0.23557278208441002,0.0683289224726367,0.09912068255181324,0.3413469555232501,0.8677325581395349
12.0,1.0,8.916666666666666,14.243055555555555,1.0,2.4166666666666665,1.2430555555555556,2.6666666666666665,1.308411214953271,interactive,420000060,Round Robin,0.17075,0.20755961663417805,0.1541347552910053,0.11833333333333332,0.31892576204523104,0.7909999999999999
12.0,1.0,9.333333333333334,11.222222222222221,1.0,2.9166666666666665,1.0763888888888888,2.6666666666666665,1.4375,interactive,420000061,SRTF,0.107233998765178,0.1397317247692906,0.09199595252795499,0.11616892035137201,0.355105586741513,0.7920353982300885
12.0,0.8,7.75,8.1875,1.0,3.0833333333333335,1.0763888888888888,2.1666666666666665,1.3655913978494623,interactive,420000062,Round Robin,0.14609929078014183,0.29223632041642045,0.13066060348492667,0.11201480208592225,0.3887762914967757,0.8510638297872339
12.0,0.8571428571428571,9.833333333333334,4.972222222222222,1.0,2.3333333333333335,2.2222222222222223,2.9166666666666665,1.4067796610169492,interactive,420000063,Round Robin,0.12181315124237005,0.2468017271341871,0.1600249976537951,0.11065051020408163,0.3159305204382638,0.7817220543806647
12.0,1.0,8.916666666666666,11.409722222222221,1.0,2.4166666666666665,1.2430555555555556,2.75,1.514018691588785,interactive,420000064,SRTF,0.14046452726210026,0.15539809063625948,0.09817949797398444,0.10993208828522921,0.3549498270173303,0.7920081967213115
12.0,1.2,7,11.833333333333334,1.0,2.5833333333333335,1.0763888888888888,2.0833333333333335,1.2380952380952381,interactive,420000065,Round Robin,0.16070536048981632,0.18253787110299588,0.2195644759995628,0.10320088300220752,0.3799447838412878,0.7865566037735849
12.0,0.9230769230769231,8,18.833333333333332,1.0,3.0833333333333335,1.9097222222222223,2.25,1.09375,interactive,420000066,SRTF,0.17825098422193064,0.11386742289968099,0.10040843938515373,0.1208596894838279,0.34691331762141747,0.8006912442396313
12.0,1.2,8,12.5,1.0,3.1666666666666665,2.138888888888889,2.25,1.5416666666666667,interactive,420000067,Round Robin,0.12725700383928232,0.21292133667571317,0.19579978474403464,0.10710710710710711,0.3187636948588138,0.8132911392405063
12.0,1.2,9,14.333333333333334,1.0,3.25,2.0208333333333335,3,1.8333333333333333,interactive,420000068,SRTF,0.14439999767429693,0.17357954152906552,0.11426179276822623,0.158409659945518,0.34840050200094747,0.7918088737201365
12.0,0.9230769230769231,8.166666666666666,7.305555555555555,1.0,3.4166666666666665,1.7430555555555556,2.0833333333333335,1.1224489795918366,interactive,420000069,SRTF,0.17906531463784217,0.25566331417624527,0.1217595305656653,0.13845837060226593,0.3282651858933329,0.8157327586206897
12.0,1.0,8.333333333333334,7.555555555555555,1.0,2.8333333333333335,1.1388888888888888,2.5,1.3,interactive,420000070,Round Robin,0.13997263727479556,0.2663937976437976,0.2057484147110989,0.10262557280907948,0.3047033527024534,0.7948717948717949
12.0,0.9230769230769231,7,5.666666666666667,1.0,3.1666666666666665,2.4722222222222223,2.25,1.6071428571428572,interactive,420000071,Round Robin,0.13770270103481774,0.2257913855734302,0.1283939254486884,0.12520569245143565,0.36318015471259835,0.8378048780487806
12.0,1.0,8.833333333333334,20.13888888888889,1.0,3.75,1.3541666666666667,2.6666666666666665,1.6037735849056605,interactive,420000072,Round Robin,0.13485451546336674,0.18523427489598182,0.10336592605142969,0.09881061299176577,0.3245654162854529,0.7864963503649636
12.0,1.0909090909090908,8.25,6.354166666666667,1.0,3.4166666666666665,1.9097222222222223,2.4166666666666665,1.4141414141414141,interactive,420000073,Round Robin,0.2092860220207517,0.26795034480344454,0.1603550127573822,0.13001961212687363,0.3253673525164389,0.8195754716981132
12.0,1.3333333333333333,8.916666666666666,9.243055555555555,1.0,2.5833333333333335,2.076388888888889,2.8333333333333335,1.560747663551402,interactive,420000074,SRTF,0.18394593713705581,0.25718281588981656,0.11143120390576214,0.12835703001579776,0.3231698473899083,0.7835365853658536
12.0,1.3333333333333333,8.333333333333334,15.055555555555555,1.0,2.6666666666666665,2.388888888888889,2.1666666666666665,1.45,interactive,420000075,SRTF,0.13909256940880727,0.19772811658776573,0.08795328999845234,0.1306019387910471,0.36316403860486113,0.7924382716049383
12.0,0.8571428571428571,7.166666666666667,10.63888888888889,1.0,3.0833333333333335,1.9097222222222223,2.0833333333333335,1.2906976744186047,interactive,420000076,Round Robin,0.19068913144254007,0.16355875774898848,0.19000840751206288,0.14631918468647617,0.29121475054229934,0.828125
12.0,0.75,9.75,10.354166666666666,1.0,3,2,2.8333333333333335,1.4017094017094016,interactive,420000077,Round Robin,0.1299478794966596,0.17680785229927626,0.10902773621131827,0.10748702742772426,0.3237929762668631,0.7872670807453417
12.0,0.9230769230769231,9.166666666666666,11.305555555555555,1.0,3,2,2.75,1.5,interactive,420000078,SRTF,0.14579864579864582,0.18058482956023938,0.13699747222474493,0.148069733297006,0.30019286269286266,0.7984126984126985
12.0,1.3333333333333333,6.166666666666667,10.472222222222221,1.0,3.0833333333333335,2.576388888888889,1.75,1.4324324324324325,interactive,420000079,Round Robin,0.15815105819832237,0.14698867218641393,0.1481942211373511,0.1330120871811422,0.31684141546526867,0.7939330543933054
12.0,1.7142857142857142,10.416666666666666,15.07638888888889,1.0,3.0833333333333335,1.7430555555555556,2.8333333333333335,1.344,interactive,420000080,Round Robin,0.13739066388522908,0.21407970017583486,0.17044557975192687,0.11363636363636362,0.3556682554444702,0.7743055555555556
12.0,1.3333333333333333,8.833333333333334,13.63888888888889,1.0,3,1.3333333333333333,2.3333333333333335,1.1603773584905661,interactive,420000081,SRTF,0.15801306621205705,0.18722744901556906,0.14952980676697047,0.16177005197618521,0.32660529080557965,0.7922535211267605
12.0,1.2,8.25,6.1875,1.0,2.6666666666666665,1.7222222222222223,2.1666666666666665,1.3737373737373737,interactive,420000082,Round Robin,0.16176954160000506,0.28232615700742536,0.1468947811075207,0.1260154246144994,0.3307659019307836,0.7885338345864661
12.0,0.8571428571428571,8.583333333333334,15.743055555555555,1.0,3.4166666666666665,1.9097222222222223,2.5833333333333335,1.6601941747572815,interactive,420000083,Round Robin,0.13079107133511278,0.2384083214415625,0.16276007333411208,0.10811892974764532,0.36526656667575674,0.8585858585858586
12.0,1.0909090909090908,10.416666666666666,16.743055555555557,1.0,3,2.6666666666666665,2.75,1.488,interactive,420000084,Round Robin,0.1350715820259609,0.23699786409390067,0.15919102381253275,0.12174152548181047,0.317037942807049,0.7987804878048781
